Day,Date,Team A,Team B,TA player 1,TA player 2,TA player 3,TA player 4,TA player 5,TA player 6,TA player 7,TA player 8,TA player 9,TA player 10,TA player 11,TB player 1,TB player 2,TB player 3,TB player 4,TB player 5,TB player 6,TB player 7,TB player 8,TB player 9,TB player 10,TB player 11
1,04/07/2017,monaco,toulouse,192593,229712,215792,190547,201042,209499,213565,162347,212692,231747,167397,231691,207746,231235,208615,198067,222982,189207,235173,228821,193983,211239
1,05/07/2017,paris-sg,amiens,193105,207865,146530,164240,201510,210008,183898,191180,199556,49370,179813,176994,138704,186567,234514,204886,51123,235569,214949,203128,234622,238609
1,05/07/2017,lyon,strasbourg,199482,189681,180334,139860,207707,216594,202648,227234,202556,207948,221639,224442,204105,47860,223284,235553,197813,235042,200966,220905,197480,230857
1,05/07/2017,troyes,rennes,190195,201523,212483,208449,175462,3665,216237,206506,233550,163796,212428,197233,177481,219789,231361,224196,230043,190674,214097,215245,235353,218970
1,05/07/2017,metz,guingamp,219793,203581,194196,206553,178111,157392,112365,234239,221250,137960,183982,190120,210394,167936,234930,204338,178051,226414,190014,213725,134779,193953
1,05/07/2017,montpellier,caen,200726,200677,163665,226166,202562,225126,234612,192242,198819,227667,50294,5594,181456,227222,212219,163804,239312,184706,199195,208017,188397,190659
1,05/07/2017,saint-etienne,nice,167628,159147,220172,231685,190868,199170,192722,225085,230144,208045,204612,221130,158625,235454,193470,192725,213313,225199,201878,230020,206467,237600
1,06/07/2017,lille,nantes,215698,198949,220337,210520,236723,213874,211382,206436,234128,216433,201073,204513,216643,203884,219693,199393,209304,210450,223874,198394,204819,190716
1,06/07/2017,angers,bordeaux,199574,184873,184190,189946,178160,226789,230107,219792,209781,186161,213839,158121,221271,215699,233219,220609,217605,112253,184271,222737,223510,224218
1,06/07/2017,marseille,dijon,163705,163083,183280,208520,52091,224030,177388,210896,185221,203280,204970,204240,199511,225934,234730,237548,213030,211927,198817,205257,212613,193226
2,11/07/2017,nice,troyes,221130,158625,235454,193470,192725,216451,230020,225199,206467,237600,216388,190195,231098,201523,181559,208449,175462,3665,206506,233550,163796,212428
