Name;ID;2015;2016;2017;2018;2019;2020;2021
L. Messi;158023;['Barcelona'];['Barcelona'];['Barcelona'];['Barcelona'];['Barcelona'];['Barcelona'];['Barcelona']
R. Lewandowski;188545;['Bayern Munich'];['Bayern Munich'];['Bayern Munich'];['Bayern Munich'];['Bayern Munich'];['Bayern Munich'];['Bayern Munich']
Cristiano Ronaldo;20801;['Real Madrid'];['Real Madrid'];['Real Madrid'];['Juventus', 'Real Madrid'];['Juventus'];['Juventus'];['Juventus']
K. De Bruyne;192985;['Manchester City', 'Wolfsburg'];['Manchester City'];['Manchester City'];['Manchester City'];['Manchester City'];['Manchester City'];['Manchester City']
Neymar Jr;190871;['Barcelona'];['Barcelona'];['PSG', 'Barcelona'];['PSG'];['PSG'];['PSG'];['PSG']
J. Oblak;200389;['Atletico Madrid'];['Atletico Madrid'];['Atletico Madrid'];['Atletico Madrid'];['Atletico Madrid'];['Atletico Madrid'];['Atletico Madrid']
Alisson;212831;['Internacional'];['Roma', 'Internacional'];['Roma'];['Liverpool', 'Roma'];['Liverpool'];['Liverpool'];['Liverpool']
M. Salah;209331;['Roma', 'Fiorentina', 'Chelsea'];['Roma'];['Liverpool', 'Roma'];['Liverpool'];['Liverpool'];['Liverpool'];['Liverpool']
S. Mane;208722;['Southampton'];['Liverpool', 'Southampton'];['Liverpool'];['Liverpool'];['Liverpool'];['Liverpool'];['Liverpool']
V. van Dijk;203376;['Southampton', 'Celtic'];['Southampton'];['Liverpool', 'Southampton U23', 'Southampton'];['Liverpool', 'Southampton U23', 'Southampton'];['Liverpool'];['Liverpool'];['Liverpool']
K. Mbappe;231747;['Monaco'];['Monaco'];['PSG', 'Monaco'];['PSG'];['PSG'];['PSG'];['PSG']
M. Neuer;167495;['Bayern Munich'];['Bayern Munich'];['Bayern Munich'];['Bayern Munich'];['Bayern Munich'];['Bayern Munich'];['Bayern Munich']
M. ter Stegen;192448;['Barcelona'];['Barcelona'];['Barcelona'];['Barcelona'];['Barcelona'];['Barcelona'];['Barcelona']
